"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 26 14:43:40 GMT 2022","Wed Oct 26 14:43:40 GMT 2022","540","","Testing the main page","","Testing the main page","Checking the year in the copyright message in the footer","Checking the year in the copyright message in the footer",""
"passed","Wed Oct 26 14:44:55 GMT 2022","Wed Oct 26 14:44:57 GMT 2022","2242","","Checking the “Savings Calculator” function","","Checking the “Savings Calculator” function","Checking the error below the “Local Numbers” and the “Toll-free Numbers” inputs after typing the “100001” number","Checking the error below the “Local Numbers” and the “Toll-free Numbers” inputs after typing the “100001” number",""
"passed","Wed Oct 26 14:44:02 GMT 2022","Wed Oct 26 14:44:04 GMT 2022","1396","","Testing the main page","","Testing the main page","The “Connect on LinkedIn” link in the footer","The “Connect on LinkedIn” link in the footer",""
"passed","Wed Oct 26 14:43:33 GMT 2022","Wed Oct 26 14:43:38 GMT 2022","4512","","Testing the main page","","Testing the main page","Clicking the “Developer Docs” link in the “hamburger menu”","Clicking the “Developer Docs” link in the “hamburger menu”",""
"passed","Wed Oct 26 14:44:49 GMT 2022","Wed Oct 26 14:44:53 GMT 2022","3480","","Checking the “Savings Calculator” function","","Checking the “Savings Calculator” function","Checking the number in the “Your savings” section after typing the “100000” number in the “Local Numbers” input and in the “Toll-free Numbers” input","Checking the number in the “Your savings” section after typing the “100000” number in the “Local Numbers” input and in the “Toll-free Numbers” input",""
"passed","Wed Oct 26 14:44:22 GMT 2022","Wed Oct 26 14:44:28 GMT 2022","5110","","Testing the sign in page","","Testing the sign in page","Checking the login with a randomly generated email and password","Checking the login with a randomly generated email and password",""
"passed","Wed Oct 26 14:44:20 GMT 2022","Wed Oct 26 14:44:22 GMT 2022","2530","","Checking the “Savings Calculator” function","","Checking the “Savings Calculator” function","Checking the error below the “Local Numbers” and the “Toll-free Numbers” inputs after typing the “100001” number","Checking the error below the “Local Numbers” and the “Toll-free Numbers” inputs after typing the “100001” number",""
"passed","Wed Oct 26 14:44:08 GMT 2022","Wed Oct 26 14:44:10 GMT 2022","2064","","Testing the main page","","Testing the main page","Clicking the “See all Pricing” link in the “hamburger menu”","Clicking the “See all Pricing” link in the “hamburger menu”",""
"passed","Wed Oct 26 14:43:17 GMT 2022","Wed Oct 26 14:43:18 GMT 2022","1203","","Testing the “Talk to an expert” page","","Testing the “Talk to an expert” page","Checking the phone numbers in the “Calling from overseas?” section","Checking the phone numbers in the “Calling from overseas?” section",""
"passed","Wed Oct 26 14:43:30 GMT 2022","Wed Oct 26 14:43:33 GMT 2022","3852","","Testing the “Talk to an expert” page","","Testing the “Talk to an expert” page","Checking the phone number in the “Talk to our product experts” section","Checking the phone number in the “Talk to our product experts” section",""
"passed","Wed Oct 26 14:44:10 GMT 2022","Wed Oct 26 14:44:11 GMT 2022","781","","Testing the main page","","Testing the main page","Checking the year in the copyright message in the footer","Checking the year in the copyright message in the footer",""
"passed","Wed Oct 26 14:43:28 GMT 2022","Wed Oct 26 14:43:30 GMT 2022","1729","","Testing the main page","","Testing the main page","Clicking the “See all Pricing” link in the hoverable dropdown menu","Clicking the “See all Pricing” link in the hoverable dropdown menu",""
"passed","Wed Oct 26 14:43:55 GMT 2022","Wed Oct 26 14:43:59 GMT 2022","4158","","Testing the main page","","Testing the main page","Clicking the “Developer Docs” link in the hoverable dropdown menu","Clicking the “Developer Docs” link in the hoverable dropdown menu",""
"passed","Wed Oct 26 14:43:30 GMT 2022","Wed Oct 26 14:43:31 GMT 2022","943","","Testing the main page","","Testing the main page","The “Connect on LinkedIn” link in the footer","The “Connect on LinkedIn” link in the footer",""
"passed","Wed Oct 26 14:44:34 GMT 2022","Wed Oct 26 14:44:46 GMT 2022","12434","","Testing the registration page","","Testing the registration page","Checking the registration with valid random generated inputs","Checking the registration with valid random generated inputs",""
"passed","Wed Oct 26 14:44:31 GMT 2022","Wed Oct 26 14:44:34 GMT 2022","3162","","Testing the registration page","","Testing the registration page","Checking the registration with blank inputs","Checking the registration with blank inputs",""
"passed","Wed Oct 26 14:44:00 GMT 2022","Wed Oct 26 14:44:13 GMT 2022","13198","","Testing the registration page","","Testing the registration page","Checking the registration with valid random generated inputs","Checking the registration with valid random generated inputs",""
"passed","Wed Oct 26 14:44:18 GMT 2022","Wed Oct 26 14:44:20 GMT 2022","1758","","Checking the “Savings Calculator” function","","Checking the “Savings Calculator” function","Checking the number in the “Your savings” section after typing the “0” number in the “Local Numbers” input and in the “Toll-free Numbers” input","Checking the number in the “Your savings” section after typing the “0” number in the “Local Numbers” input and in the “Toll-free Numbers” input",""
"passed","Wed Oct 26 14:43:14 GMT 2022","Wed Oct 26 14:43:17 GMT 2022","2793","","Testing the “Talk to an expert” page","","Testing the “Talk to an expert” page","Checking the phone number in the “Talk to our product experts” section","Checking the phone number in the “Talk to our product experts” section",""
"passed","Wed Oct 26 14:43:51 GMT 2022","Wed Oct 26 14:43:55 GMT 2022","4070","","Testing the main page","","Testing the main page","Clicking the “Start your free trial” button on the bottom of the homepage redirects to the sign up page","Clicking the “Start your free trial” button on the bottom of the homepage redirects to the sign up page",""
"passed","Wed Oct 26 14:44:15 GMT 2022","Wed Oct 26 14:44:18 GMT 2022","3174","","Checking the “Savings Calculator” function","","Checking the “Savings Calculator” function","Checking the number in the “Your savings” section after typing the “100000” number in the “Local Numbers” input and in the “Toll-free Numbers” input","Checking the number in the “Your savings” section after typing the “100000” number in the “Local Numbers” input and in the “Toll-free Numbers” input",""
"passed","Wed Oct 26 14:44:05 GMT 2022","Wed Oct 26 14:44:06 GMT 2022","945","","Testing the main page","","Testing the main page","The “Follow on Facebook” link in the footer","The “Follow on Facebook” link in the footer",""
"passed","Wed Oct 26 14:44:06 GMT 2022","Wed Oct 26 14:44:08 GMT 2022","2466","","Testing the main page","","Testing the main page","Clicking the “Developer Docs” link in the “hamburger menu”","Clicking the “Developer Docs” link in the “hamburger menu”",""
"passed","Wed Oct 26 14:43:38 GMT 2022","Wed Oct 26 14:43:40 GMT 2022","2126","","Testing the main page","","Testing the main page","Clicking the “See all Pricing” link in the “hamburger menu”","Clicking the “See all Pricing” link in the “hamburger menu”",""
"passed","Wed Oct 26 14:43:32 GMT 2022","Wed Oct 26 14:43:33 GMT 2022","1527","","Testing the main page","","Testing the main page","The “Follow on Facebook” link in the footer","The “Follow on Facebook” link in the footer",""
"passed","Wed Oct 26 14:43:24 GMT 2022","Wed Oct 26 14:43:28 GMT 2022","3693","","Testing the main page","","Testing the main page","Clicking the “Developer Docs” link in the hoverable dropdown menu","Clicking the “Developer Docs” link in the hoverable dropdown menu",""
"passed","Wed Oct 26 14:44:57 GMT 2022","Wed Oct 26 14:45:00 GMT 2022","2657","","Checking the “Savings Calculator” function","","Checking the “Savings Calculator” function","Checking the error below the “Local Numbers” and the “Toll-free Numbers” inputs after typing the “1” number and clicking the minus button","Checking the error below the “Local Numbers” and the “Toll-free Numbers” inputs after typing the “1” number and clicking the minus button",""
"passed","Wed Oct 26 14:44:53 GMT 2022","Wed Oct 26 14:44:55 GMT 2022","2173","","Checking the “Savings Calculator” function","","Checking the “Savings Calculator” function","Checking the number in the “Your savings” section after typing the “0” number in the “Local Numbers” input and in the “Toll-free Numbers” input","Checking the number in the “Your savings” section after typing the “0” number in the “Local Numbers” input and in the “Toll-free Numbers” input",""
"passed","Wed Oct 26 14:43:49 GMT 2022","Wed Oct 26 14:43:55 GMT 2022","5954","","Testing the sign in page","","Testing the sign in page","Checking the login with a randomly generated email and password","Checking the login with a randomly generated email and password",""
"passed","Wed Oct 26 14:44:04 GMT 2022","Wed Oct 26 14:44:05 GMT 2022","960","","Testing the main page","","Testing the main page","The “Follow on Twitter” link in the footer","The “Follow on Twitter” link in the footer",""
